topic_id,topic_label,rank_in_topic,topic_score,session_nr,date,speech_id,speaker_first,speaker_last,fraktion,speech_len_words,text_preview_100w,source_note
4,Energie- und Wirtschaftspolitik,2,0.1185,58,2022-09-30,ID205801000,Sebastian,Schäfer,Grüne,438,"Sehr geehrte Frau Präsidentin! Sehr geehrte Kolleginnen und Kollegen! Mit 200 Milliarden Euro als Abwehrschirm gegen die Energiekrise handeln wir entschlossen. Wir halten unser Land in dieser schwierigen Zeit zusammen. Wir geben unseren Bürgerinnen und Bürgern Sicherheit, indem wir jetzt den Anstieg der Energiepreise für Strom und Wärme so deutlich begrenzen. Wir geben damit unseren Unternehmen, unserer mittelständischen Industrie, unserem Handwerk ein klares Signal: Den Kern unserer Volkswirtschaft, den Kern unseres Wohlstands lassen wir von einem russischen Diktator nicht zerstören.","Deutscher Bundestag, 58. Sitzung, 2022-09-30, Rede-ID: ID205801000"
4,Energie- und Wirtschaftspolitik,3,0.1107,41,2022-06-02,ID204103800,Andreas,Mehltretter,SPD,771,"Sehr geehrte Frau Präsidentin! Meine Damen und Herren! Dass wir wegen des „Sondervermögens Bundeswehr“ beim Klimaschutz sparen müssen: Nein, diese Sorge, der wir in diesen Tagen immer wieder begegnen, ist unbegründet. Mit dem Haushalt 2022 und insbesondere mit dem Klima- und Transformationsfonds stellen wir die Mittel zur Verfügung, die wir brauchen, um unsere Klimaziele zu erreichen. Über den Klima- und Transformationsfonds investieren wir in diesem Jahr rund 28 Milliarden Euro in unsere Energie- und Klimapolitik. Bis 2026 werden es gut","Deutscher Bundestag, 41. Sitzung, 2022-06-02, Rede-ID: ID204103800"
5,Fragestunde und Parlamentarische Anfragen,1,0.1995,177,2024-06-26,ID2017703200,Robert,Habeck,Unbekannt,35,"Ich habe keine Frage gehört, Herr Präsident. Ich weiß nicht, was ich dazu sagen soll. Ich will das nicht kommentieren. – Herr Kollege Kotré, Sie haben eine Nachfrage. Wie wäre es mal mit einer Frage!","Deutscher Bundestag, 177. Sitzung, 2024-06-26, Rede-ID: ID2017703200"
5,Fragestunde und Parlamentarische Anfragen,2,0.1796,59,2022-10-12,ID205904900,Karl,Lauterbach,Unbekannt,17,"Vielen Dank für die Frage, Frau Abgeordnete. – Die Antwort ist: Nein. Sie dürfen eine Nachfrage stellen.","Deutscher Bundestag, 59. Sitzung, 2022-10-12, Rede-ID: ID205904900"
5,Fragestunde und Parlamentarische Anfragen,3,0.151,87,2023-03-01,ID208706400,Klara,Geywitz,Unbekannt,132,"Ich sehe jetzt nicht, dass das eine Frage an die Bundesregierung war. Können Sie die Frage an die Bundesregierung bitte konkretisieren. Roger Beckamp (AfD): Das Private ist politisch – das habe ich vorausgesetzt; ich denke, da sind wir uns einig –, deswegen die Frage an Sie. Wenn Ihnen die Frage unangenehm ist, stelle ich eine Nachfrage; kein Problem. Wollen Sie nicht beantworten? Offensichtlich nicht. Wie war denn noch mal Ihre Frage? Roger Beckamp (AfD): Also, die Frage ist, glaube ich,","Deutscher Bundestag, 87. Sitzung, 2023-03-01, Rede-ID: ID208706400"
6,Gesetzgebungsverfahren und Verwaltung,1,0.1167,132,2023-10-20,ID2013208400,Mechthilde,Wittmann,CDU/CSU,667,"In dem hier vorliegenden Gesetzentwurf geht es um die Digitalisierung in der Verwaltung. Vorschriften aus dem Planungssicherstellungsgesetz, welches bis zum Ende dieses Jahres befristet ist, sollen in das Verwaltungsverfahrensgesetz übertragen werden: Die öffentliche Bekanntmachung im Internet soll zwingend und als Wirksamkeitsvoraussetzung vorgegeben werden. Außerdem wird die digitale Auslegung von Dokumenten und die Möglichkeit der digitalen Erörterung in das Verwaltungsverfahrensgesetz niedergeschrieben. Die Weiterführung der Änderungen aus dem Planungssicherstellungsgesetz sind selbstverständlich richtig, und es freut mich, zu sehen, dass die Regierungsfraktionen die","Deutscher Bundestag, 132. Sitzung, 2023-10-20, Rede-ID: ID2013208400"
6,Gesetzgebungsverfahren und Verwaltung,2,0.1093,194,2024-10-17,ID2019421800,Macit,Karaahmetoğlu,SPD,564,"Natürlich muss es unser Anspruch sein – als eine der führenden Industrienationen –, nicht nur in der Wertschöpfung, sondern auch in der Wirtschaftsjustiz wettbewerbsfähig zu sein. Dazu haben wir bereits die Commercial Courts auf den Weg gebracht. Dazu gehört aber auch die Modernisierung der Schiedsgerichtsbarkeit. Dieser Gesetzentwurf zielt darauf ab, unser Schiedsverfahrensrecht an internationale Standards anzupassen und die Digitalisierung voranzutreiben. Schiedsverfahren sind insbesondere auf internationaler Ebene von großer Bedeutung für die Wirtschaft, da sie eine flexible, vertrauliche und schnelle Alternative","Deutscher Bundestag, 194. Sitzung, 2024-10-17, Rede-ID: ID2019421800"
6,Gesetzgebungsverfahren und Verwaltung,3,0.1086,144,2023-12-14,ID2014412500,Philipp,Hartewig,FDP,588,"Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Wir beraten heute abschließend die Umsetzung der sogenannten KH-Richtlinie zur Kraftfahrzeughaftpflichtversicherung. Im Zuge dessen sind das Pflichtversicherungsgesetz und das Gesetz über die Haftpflichtversicherung für ausländische Kraftfahrzeuge und Kraftfahrzeuganhänger anzupassen. Unser Ziel als Koalition ist und war dabei von Anfang an klar: Wir wollen die Versicherungsnehmer in Deutschland sowie die Allgemeinheit so gering wie möglich belasten, die bestehenden Strukturen des Versicherungsrechts so weit wie möglich aufrechterhalten und dabei gleichzeitig eine europarechtskonforme Umsetzung schaffen.","Deutscher Bundestag, 144. Sitzung, 2023-12-14, Rede-ID: ID2014412500"
7,Bundeswehr / Auslandseinsätze / Verteidigung,1,0.1679,154,2024-02-22,ID2015410800,Boris,Pistorius,Unbekannt,894,"Sehr geehrter Herr Präsident! Meine sehr geehrten Damen und Herren Abgeordneten! Da wir uns heute Abend hier im Bundestag gleich mit zwei laufenden Auslandseinsätzen unserer Bundeswehr beschäftigen, lassen Sie mich zu Beginn dieser Debatte etwas sagen, das mir am Herzen liegt und Ihnen ganz sicher auch. Die Männer und Frauen unserer Bundeswehr tragen weltweit dazu bei, Terror zu bekämpfen, Frieden und Stabilität zu sichern. Sie bilden aus, sie beraten, sie unterstützen bei der Einhaltung von Friedensabkommen. Sie sorgen für Stabilität","Deutscher Bundestag, 154. Sitzung, 2024-02-22, Rede-ID: ID2015410800"
7,Bundeswehr / Auslandseinsätze / Verteidigung,2,0.1583,102,2023-05-10,ID2010211800,Boris,Pistorius,Unbekannt,729,"Sehr geehrter Herr Präsident! Meine sehr geehrten Damen und Herren Abgeordneten! Seit zehn Jahren sind deutsche Kräfte bei MINUSMA aktiv. Mehr als 18 000 deutsche Soldatinnen und Soldaten waren in diesem Zeitraum bisher bei dieser UN-Mission im Einsatz. Gemeinsam mit unseren internationalen Partnern haben wir in dieser Zeit darauf hingearbeitet, wieder ein sicheres Umfeld in Mali herzustellen, die Staatlichkeit in Mali zu stärken und zu einer demokratischen, politischen Transition beizutragen. Und wir haben versucht, darauf hinzuarbeiten, die Zivilbevölkerung besser zu","Deutscher Bundestag, 102. Sitzung, 2023-05-10, Rede-ID: ID2010211800"
7,Bundeswehr / Auslandseinsätze / Verteidigung,3,0.1583,124,2023-09-27,ID2012413000,Nils,Gründer,FDP,636,"Sehr geehrte Frau Präsidentin! Sehr geehrter Herr Minister! Liebe Kolleginnen! Liebe Kollegen! Immer wieder wird mir die Frage gestellt: Warum schicken wir unsere Soldatinnen und Soldaten eigentlich in den Irak? Die 274 deutschen Soldatinnen und Soldaten hätten gar nicht das Gewicht, um wirklich was zu verändern. Warum verlängern wir dann immer wieder diese Mission? Klar ist: Jedes Mandat des Deutschen Bundestages muss sorgfältig abgewogen werden. Es muss überlegt werden: Gibt es einen strategischen Aspekt? Die Belastungen der Soldatinnen und Soldaten","Deutscher Bundestag, 124. Sitzung, 2023-09-27, Rede-ID: ID2012413000"
8,"Demokratie, Gesellschaft und Wertedebatte",1,0.1121,10,2022-01-12,ID201006200,Nancy,Faeser,Unbekannt,1190,"Sehr geehrte Frau Präsidentin! Meine Damen und Herren! Es ist mir eine große Ehre, dass ich heute zum ersten Mal im Deutschen Bundestag reden darf. Wir wollen mehr Fortschritt wagen. Fortschritt braucht Sicherheit. Nur so werden wir den notwendigen Rückhalt für Veränderungen haben. Wir sind ein starkes Land. Die überwältigende Mehrheit in unserem Land steht hinter unserer Demokratie und ihren Institutionen. Die überwältigende Mehrheit verhält sich in der Pandemie solidarisch und rücksichtsvoll, und dieser überwältigenden Mehrheit möchte ich heute im","Deutscher Bundestag, 10. Sitzung, 2022-01-12, Rede-ID: ID201006200"
8,"Demokratie, Gesellschaft und Wertedebatte",2,0.111,134,2023-11-09,ID2013400100,Nancy,Faeser,Unbekannt,1054,"Sehr geehrte Frau Präsidentin! Liebe Margot Friedländer! Sehr geehrter Herr Dr. Schuster! Sehr geehrter Herr Botschafter, lieber Ron Prosor! Auch ich darf Sie ganz herzlich von dieser Stelle begrüßen. Wir fühlen uns geehrt, dass Sie da sind. Sehr verehrte Damen und Herren! Liebe Abgeordnete! Frau Präsidentin! „Es wird eine Zeit kommen, wo man … sich fragt, wie ein bis dahin gesittetes, anständiges Volk sich zu solchen Greueltaten veranlassen konnte.“ Das schrieb der Düsseldorfer Jude Albert Herzfeld im Rückblick auf den","Deutscher Bundestag, 134. Sitzung, 2023-11-09, Rede-ID: ID2013400100"
8,"Demokratie, Gesellschaft und Wertedebatte",3,0.1067,134,2023-11-09,ID2013400500,Christian,Dürr,FDP,746,"Frau Präsidentin! Sehr verehrte Frau Friedländer! Herr Präsident Schuster! Eure Exzellenz Herr Botschafter Prosor! Liebe Kolleginnen und Kollegen! Es ist einen Monat her, dass die Hamas Israel auf schreckliche, auf barbarische Weise angegriffen hat. Die Hamas hat unzählige Menschen kaltblütig ermordet, darunter auch Kinder und Babys. Es werden noch immer Menschen vermisst. Unsere Gedanken sind heute bei den Familien und bei den Geiseln, die immer noch in der Hand der Terroristen sind. Ich will daher in aller Deutlichkeit sagen: Deutschland","Deutscher Bundestag, 134. Sitzung, 2023-11-09, Rede-ID: ID2013400500"
