token,count
zugang,1310
sichern,1310
zuletzt,1308
energiewende,1305
ansatz,1303
druck,1297
waffen,1296
sogenannte,1295
eingesetzt,1290
gruppe,1289
vieles,1288
fortschritt,1287
häufig,1285
komplett,1283
lesen,1283
feststellen,1281
demokratische,1280
schlecht,1274
getroffen,1274
einführung,1274
änderung,1273
jemand,1271
notwendigen,1270
instrument,1267
gelegenheit,1267
gestalten,1267
handelt,1266
globalen,1265
erlebt,1263
leistungen,1260
anderer,1257
erhöht,1256
wert,1255
gleiche,1254
fahren,1252
bedarf,1252
gesetzt,1252
kam,1251
übernehmen,1250
mussten,1248
müsste,1247
redezeit,1245
vergleich,1241
menschenrechte,1238
praxis,1236
versprechen,1233
ländlichen,1233
halte,1231
frankreich,1230
worte,1230
wünschen,1229
solidarität,1229
nationale,1229
stück,1229
unabhängig,1227
liefern,1225
verhandlungen,1224
olaf,1221
gesamten,1221
straße,1220
betroffen,1219
entsprechende,1219
europas,1218
nötig,1217
zusätzliche,1216
ging,1213
ermöglicht,1212
verloren,1211
entsprechenden,1211
steigen,1209
wünsche,1209
profitieren,1209
angekündigt,1207
gleichen,1207
schließen,1206
verstanden,1205
herzlich,1204
freuen,1203
fachkräfte,1203
neues,1200
knapp,1198
wirtschaftlichen,1198
erklärt,1197
ausreichend,1194
laufen,1194
strukturen,1194
lindner,1191
russische,1191
personal,1189
zukünftig,1189
eingehen,1188
erster,1188
impfpflicht,1186
bekämpfung,1185
betriebe,1183
markt,1182
corona,1176
bundesverfassungsgericht,1176
öffentlich,1175
stand,1172
änderungen,1171
tisch,1171
zentrale,1168
erfolgreich,1168
februar,1167
gesamte,1167
vorher,1166
landwirte,1166
beenden,1164
schwierigen,1161
erlauben,1160
kanzler,1159
seinem,1159
afghanistan,1158
bekommt,1153
umso,1153
öffentliche,1152
kind,1152
letzter,1151
lehnen,1150
namen,1148
mandat,1147
vorhin,1143
wasserstoff,1143
märz,1141
sitzen,1139
gefragt,1139
anliegen,1138
großes,1137
gelungen,1136
perspektive,1135
energieversorgung,1133
erneut,1127
amt,1125
stimmt,1124
netz,1123
verbraucher,1123
wahl,1121
finanzieren,1121
anstatt,1120
preis,1118
bundes,1117
starke,1116
vollkommen,1115
fehlen,1115
ideen,1114
notwendige,1112
falsche,1112
nachdem,1109
russlands,1107
außen,1106
manche,1105
oktober,1103
justiz,1103
wenigen,1101
nachhaltige,1100
mobilität,1099
ministerium,1099
behörden,1098
absolut,1096
robert,1096
bezahlen,1092
sagte,1092
verteidigen,1091
vorne,1090
transparenz,1090
vorstellen,1089
gesetzes,1089
iran,1087
genutzt,1086
konkreten,1083
freien,1081
regionen,1081
verlieren,1079
aktiv,1077
bezug,1076
schulden,1074
rente,1074
eingeführt,1073
merkel,1073
eingebracht,1072
vielmehr,1072
urteil,1072
suchen,1071
mehrfach,1069
auftrag,1069
umgang,1067
gebe,1067
herausforderung,1067
wenige,1063
mensch,1061
beschäftigen,1059
hauses,1058
ernsthaft,1057
vorgenommen,1056
konsequent,1053
gelten,1053
irgendwie,1052
folge,1052
echte,1051
entscheidend,1050
jahrzehnten,1048
lernen,1047
trägt,1047
vorbei,1047
hälfte,1045
angehen,1043
leid,1042
kümmern,1040
passt,1038
nachhaltig,1036
sorgt,1034
früher,1033
öffentlichkeit,1032
deutscher,1031
einiges,1030
teile,1028
gefunden,1028
finanzminister,1027
alternative,1025
langfristig,1025
welchen,1023
fällt,1022
finanzielle,1021
angebot,1018
nationen,1016
funktionieren,1014
schaden,1014
sommer,1013
verschiedenen,1013
mitarbeiter,1013
umwelt,1011
müller,1010
verhindert,1010
osten,1010
stunden,1009
leistung,1009
seiten,1009
beide,1007
partnern,1007
bundeshaushalt,1006
projekt,1004
zusammenhalt,1004
entwickeln,1003
integration,1003
arbeitnehmer,1002
läuft,1000
freie,998
glück,997
artikel,994
gesorgt,989
begrüßen,987
pflicht,985
umzusetzen,985
schließlich,983
dezember,980
bild,978
dauerhaft,978
platz,976
schlicht,975
spielen,975
bedingungen,975
beispiele,975
stadt,974
putins,973
mindestlohn,972
anerkennung,972
betreiben,971
welcher,970
abkommen,970
heraus,969
verbesserung,969
europäischer,969
informationen,967
prozess,966
nachhaltigkeit,966
vorgesehen,965
energiepreise,963
bald,963
einzelplan,963
gegangen,962
ticket,962
hinweisen,961
zweifel,960
mitteln,959
christian,959
sozial,958
sinn,957
medien,957
sport,957
passieren,956
sparen,956
stabilität,956
konzept,955
november,954
höhere,952
mut,947
betonen,947
monat,945
fakten,945
kopf,944
grenze,941
mehrere,938
deutsch,938
ziemlich,938
juni,937
entstehen,936
alten,935
plenum,934
schiene,934
gesellschaftlichen,934
überzeugt,933
kern,933
wettbewerb,933
voraussetzungen,932
anteil,932
polizei,932
bieten,931
intensiv,931
ampelregierung,931
coronapandemie,931
voran,930
staates,930
reduzieren,929
einzelne,929
weiterer,929
lauterbach,928
verantwortlich,928
wege,928
generation,927
angewiesen,927
ausgaben,927
abgelehnt,925
angriff,925
hart,924
international,921
klein,920
wachstum,919
außenpolitik,919
sprache,918
patienten,918
start,916
armut,916
verbesserungen,916
oben,915
polen,912
fokus,911
heimat,911
dienst,909
möglicherweise,908
zugleich,908
stimme,908
beste,907
kenntnis,907
gedanken,903
haltung,901
klimakrise,901
klimawandel,898
michael,897
bestehen,896
links,896
gelingt,896
bundestagsfraktion,895
wohnen,895
finanziert,894
maßnahme,894
vorliegende,893
gerechtigkeit,893
reagieren,892
verbrechen,892
gründe,890
investiert,890
schule,889
vorgaben,889
beitragen,888
verbunden,887
scheint,886
zeitpunkt,885
richtlinie,885
geschrieben,884
hoffnung,883
gewinnen,882
initiative,881
angeht,881
rein,881
leiden,881
mittelstand,881
titel,880
vereinbart,879
niemals,879
erneuerbare,877
straßen,877
somit,877
fälle,873
finanziellen,872
vorlegen,871
einfluss,868
stichwort,868
taten,867
befinden,867
finanziell,866
rentner,866
senken,866
generationen,865
schritte,864
männer,863
beschäftigt,863
vorgehen,863
spahn,863
faeser,863
stolz,862
umgehen,861
vereinten,861
konsequenzen,860
irgendwann,858
ausdruck,858
reichen,857
wahlperiode,856
krankenhäuser,854
produktion,854
verfassung,854
verdienen,852
abschluss,851
bedanken,851
jugendlichen,850
austausch,849
covid,847
gespräche,846
arbeitet,844
gesetzlichen,844
sichere,842
beteiligung,841
gern,840
null,839
gucken,839
brüssel,837
milliarde,837
ressourcen,836
mission,835
verordnung,835
wohnraum,834
basis,832
abhängigkeit,832
kostet,832
offenbar,831
minuten,831
gruppen,830
bundesländer,830
klaren,830
beides,830
rechten,828
aufgenommen,827
experten,826
besondere,826
achten,826
verteidigung,826
arbeitsbedingungen,825
geleistet,825
kriegen,825
danken,824
technologien,823
kitas,822
behaupten,822
breite,818
anschauen,818
entwickelt,815
mann,815
zuständig,815
gedacht,814
gebraucht,814
qualität,813
standards,813
vertreten,812
unbedingt,812
betrieben,811
mitgliedstaaten,811
gestärkt,811
verständnis,810
mai,807
gebaut,807
stattfinden,806
position,805
spät,804
abschaffung,804
verlängerung,804
humanitäre,804
gearbeitet,804
weiteres,804
planungssicherheit,803
versprochen,802
ergebnisse,802
hält,800
stiftung,800
verändert,799
nutzung,798
ddr,798
zustand,798
wasser,797
abschließend,796
gewährleisten,796
öpnv,796
mitglied,796
einzigen,795
migrationspolitik,795
verpflichtet,795
klarheit,793
geändert,793
branche,793
gelingen,792
erfüllen,792
linie,790
einrichtungen,789
globale,789
krieges,788
bislang,786
erfahren,785
worten,784
davor,783
unterwegs,782
staatliche,782
september,781
bundespolizei,781
prüfen,781
verwaltung,781
gesetzliche,780
entscheidende,780
wahlen,779
menge,778
fällen,778
bietet,778
bundesländern,777
afrika,777
eindeutig,776
juden,776
republik,775
cent,775
überzeugung,774
draußen,771
regel,771
trifft,771
prinzip,771
geflüchteten,770
ausgerechnet,769
hass,769
sachen,768
hamas,768
jugendliche,767
papier,767
schwierig,766
infrage,765
unterschiedlichen,764
gefallen,764
extrem,764
überlegen,763
falschen,762
april,761
gezielt,759
kontrolle,758
mitglieder,757
ausgeführt,757
beteiligt,757
voll,756
ablehnen,755
schweren,755
dahin,755
verfolgt,754
denjenigen,753
festgestellt,753
anreize,753
prävention,753
mache,752
gehalten,752
plan,751
mali,751
institutionen,750
enthalten,750
unterschiedliche,750
teilhabe,750
regelmäßig,749
fallen,749
person,748
letztendlich,748
wesentlichen,747
gefährdet,747
beteiligten,747
straftaten,747
herbst,746
folgt,746
geschlossen,745
verbessert,745
quasi,744
reihe,743
entwicklungszusammenarbeit,743
jetzigen,742
debattieren,740
innovation,740
fachkräftemangel,740
entlastungen,740
hört,739
wirtschaftlich,739
abend,737
digital,735
jährlich,735
gestiegen,735
politiker,735
täglich,734
marktwirtschaft,733
baerbock,732
kritisieren,731
bürokratieabbau,731
innovationen,730
regime,729
reformen,729
willen,728
dritten,728
kritisiert,728
erkannt,728
instrumente,728
sachsen,727
punkten,727
volk,726
nord,726
alte,725
gescheitert,725
drin,724
betrieb,724
etat,724
erforderlich,723
begriff,723
gespräch,722
nächstes,721
welches,721
drittel,719
tatsache,718
bau,718
energiepolitik,718
wirtschaftspolitik,718
haushalte,717
zuvor,717
entlastet,717
zivilgesellschaft,716
richten,715
lediglich,714
wirkung,714
veränderungen,714
bedroht,713
beginnen,713
formuliert,711
beschleunigen,711
gelder,711
abschaffen,709
privaten,709
grundgesetzes,708
verabschiedet,708
außenministerin,708
hochschulen,708
not,707
aufklärung,707
ständig,707
wunsch,703
vollständig,703
friedrich,702
einführen,701
angemessen,701
rechtlichen,701
risiko,701
droht,699
gewünscht,699
alexander,699
wettbewerbsfähigkeit,699
darunter,699
angehörigen,698
benötigen,698
rot,698
reihen,698
mieter,698
hamburg,697
arbeitgeber,696
ideologie,696
erinnere,696
höre,695
wirken,694
steigt,694
spielt,694
hinzu,694
plötzlich,693
verhalten,692
verändern,692
syrien,692
ostdeutschland,692
städte,692
herzen,691
potenzial,691
bemerkung,690
stephan,690
ungefähr,690
wenigstens,690
thomas,690
ansprechen,689
besseren,689
ohnehin,689
lohnt,688
sozusagen,687
sicherstellen,686
wohnung,686
gesellschaftliche,686
massive,686
verstehe,684
angeblich,684
einfacher,684
beantworten,683
bedeuten,683
auffassung,681
zitieren,681
kurzfristig,680
auto,680
jahrzehnte,679
berücksichtigt,679
letztes,679
freunde,678
täter,678
boden,678
kernkraftwerke,678
abhängig,678
erfolgen,677
vertreter,677
bedenken,677
erzählen,675
belastung,674
botschaft,674
fossilen,674
geschehen,672
studie,672
luft,672
aussage,671
vorgeschlagen,671
gefahren,671
standort,671
leicht,670
flüchtlinge,670
juli,670
beschleunigung,670
rücken,669
konstruktiv,668
bauern,668
lng,668
kräfte,668
zusätzlichen,667
kindergrundsicherung,667
produkte,667
beendet,666
per,666
legislatur,666
uhr,666
neuer,665
bestimmte,665
gehe,665
kritisch,665
stärke,665
zugestimmt,664
behauptet,664
teuer,663
schlagen,662
beruf,662
beschrieben,662
zentralen,661
gewählt,660
geflüchtete,660
organisationen,660
hinblick,659
verlängern,659
bedrohung,659
ukrainischen,659
merken,657
gefördert,657
steuerzahler,656
bezahlt,656
wirtschaftsminister,656
vielfalt,656
hilfen,655
starken,655
größer,654
rechnen,653
einbringen,652
lebensmittel,652
spiel,651
führung,650
hinweis,649
zuerst,649
lautet,648
job,648
gelesen,647
wind,647
ausschließlich,647
verfolgen,647
fühlen,646
relativ,645
risiken,645
verschiedene,645
klingt,644
militärische,644
buschmann,643
kita,643
beteiligen,643
gemeinschaft,643
programme,641
staatlichen,640
belastungen,640
nenne,640
brandner,639
beschäftigte,639
grün,639
vermögen,639
wandel,639
ernährung,639
wirkt,638
akteure,638
hinweg,637
diskussionen,637
versorgungssicherheit,637
fortschrittskoalition,636
anlass,635
treten,635
schönen,634
anpassung,634
produzieren,633
vorbereitet,633
aufs,633
verbraucherinnen,633
vermeiden,633
moderne,633
anforderungen,632
erwähnen,632
festhalten,630
wirklichkeit,630
steigenden,630
gegensatz,630
treiben,629
alter,629
sicherheitsbehörden,629
leuten,628
begründung,628
hierzu,627
hoffentlich,627
geplant,625
hinbekommen,624
meines,624
impfung,622
geliefert,622
ansonsten,622
dient,621
lebens,621
haushaltsberatungen,621
erwartet,620
spätestens,620
erhebliche,619
private,618
handel,618
erinnerung,618
rat,617
gestatten,617
grunde,617
parlaments,617
kleiner,617
usw,617
kompromiss,616
nordrhein,615
gefühl,615
präsidenten,614
vorhanden,614
internet,614
enthält,613
irak,612
technologie,612
wahlkampf,612
positiv,612
nachricht,612
novelle,612
untersuchungsausschuss,612
wählen,611
circa,611
kriminalität,611
halt,610
verhältnis,610
unternehmer,610
verzichten,608
ministerpräsidenten,608
momentan,608
institut,608
gemeinden,607
gesetzgeber,607
heil,607
tätig,605
wichtigste,605
raus,605
zwölf,604
angriffe,604
natur,603
stärkt,603
niveau,602
sterben,601
verkehr,601
souveränität,601
energiekrise,601
arbeitnehmerinnen,600
erfahrungen,600
bilder,600
agenda,599
geblieben,599
notwendigkeit,598
geschützt,598
entsteht,598
weitergehen,598
erfüllt,598
absatz,597
aufarbeitung,594
gespannt,593
mittelpunkt,593
bedanke,592
schuld,592
priorität,592
kohle,592
interessant,591
leistet,591
werfen,590
tempo,590
gelegt,589
handwerk,589
gesprächen,589
farle,589
bitten,588
höchste,588
streichen,587
alltag,587
nacht,586
fort,586
kürzen,586
anzahl,585
tausende,585
schnelle,585
emissionen,584
jens,584
wesentlich,584
mitarbeiterinnen,584
streiten,583
andreas,583
markus,581
belastet,581
kürzungen,581
sprach,581
durchsetzen,580
haushaltsentwurf,580
teurer,579
hürden,579
retten,578
haushaltsausschuss,578
bestehenden,577
polizisten,577
wähler,576
schlichtweg,576
bisherigen,575
planen,575
scheitern,573
städten,573
konsens,572
entwicklungen,572
gäbe,572
energiekosten,572
ausstattung,571
zahlreiche,571
alt,570
wiederholen,570
voraussetzung,569
entspricht,569
vornehmen,569
bereiche,569
solange,569
wichtigsten,568
million,568
mädchen,568
rechnung,567
inhaltlich,567
aspekt,567
politischer,566
besonderen,566
katastrophe,565
hinsichtlich,565
zerstört,565
geregelt,564
schwere,564
jahrelang,564
ausbauen,563
bewältigen,563
erfolgt,562
unmittelbar,562
außerhalb,562
höher,561
dargestellt,560
westfalen,560
höheren,560
volkswirtschaft,560
kurzintervention,558
gericht,558
geprägt,558
legt,558
terror,558
verabschieden,557
interessiert,557
übernommen,557
vieler,556
konstruktive,556
aufnehmen,556
verpflichtung,556
bundesverfassungsgerichts,556
hierfür,555
begegnen,555
nehme,554
bestimmten,553
gelernt,553
zügig,553
gesundheitswesen,553
beziehen,553
spüren,553
getragen,552
wirksam,552
paket,552
meinungsfreiheit,552
begonnen,552
voranbringen,551
entschlossen,551
schade,551
nachdenken,550
sicherung,550
sozialstaat,550
stoppen,549
greifen,549
gezogen,548
dar,548
bestätigt,548
erfahrung,547
zusammenarbeiten,547
seitdem,547
welchem,547
ärzte,546
sitzt,545
allgemeinen,545
behandelt,544
rechtssicherheit,544
mittleren,544
anlagen,544
bundesfinanzminister,544
enorm,543
zunehmend,543
dauer,543
klares,542
asyl,541
weichen,540
martin,540
berücksichtigen,539
plus,539
libyen,539
rechtliche,538
subventionen,537
bewegen,537
kooperation,537
baustein,537
startchancen,537
geredet,536
wofür,536
nahezu,536
baden,536
ergreifen,535
möglichen,535
schützt,535
langsam,535
regierungen,534
lag,534
entgegen,534
motto,533
folgendes,533
sicheren,533
stream,533
ministerien,533
eng,532
schüler,530
fakt,530
hoffen,530
aufbau,530
angebote,529
wertschätzung,529
brücken,529
durchgeführt,528
wahr,527
steuer,527
berufliche,527
ausgesetzt,527
wesentliche,526
tod,526
akzeptanz,526
aufgebaut,526
wissing,526
organisieren,525
absurd,525
bilanz,525
initiativen,524
zentral,524
essen,524
zuschauer,524
starkes,522
massiven,522
verlässlichkeit,522
militärischen,522
mittelmeer,521
zuwanderung,521
solches,520
erkenntnisse,520
hingegen,520
dienen,520
moldau,520
gott,519
gesichert,519
aufnahme,519
dialog,519
rentnerinnen,519
langen,519
studierende,518
israels,518
offene,517
offenen,517
schwarz,517
mitten,516
nachbarn,516
akzeptieren,516
einnahmen,516
perspektiven,516
wiederaufbau,516
zuhören,515
ehemaligen,515
regiert,515
heutige,515
prioritäten,515
hetze,515
wohnungsbau,515
kurs,514
solcher,514
umbau,514
kaufen,514
betroffene,514
ebenen,514
kapazitäten,513
wirtschaftsstandort,512
persönlichen,511
ankommt,511
einziges,511
dran,511
keinerlei,511
freut,511
act,511
gewährleistet,510
verboten,510
konzentrieren,510
verbot,510
anfangen,509
vorliegen,509
größere,509
umfassende,508
sowieso,508
studien,508
betont,508
reagiert,507
global,507
kosovo,507
bestimmt,506
angepasst,506
wiederum,506
indien,506
gemeint,505
erteile,505
echten,505
lebt,505
begleiten,505
geraten,505
allgemeine,505
innenministerin,505
genügend,504
persönliche,504
reduziert,504
klimaziele,504
beiträge,504
schlechter,504
rechtsstaatlichkeit,504
löhne,504
ausweitung,503
höchsten,503
gehandelt,503
betrachten,502
selten,502
bekenntnis,501
tages,501
ausgeben,501
schmidt,501
worum,500
ankommen,500
vorschlägen,500
migranten,500
fand,500
